Season,Episode,Title,Rating,Votes
3,8,No Weenies Allowed/Squilliam Returns,8.4,132
3,9,Krab Borg/Rock-a-Bye Bivalve,8.3,113
3,10,Wet Painters/Krusty Krab Training Video,8.6,164
3,11,SpongeBob's House Party,8,114
3,12,Chocolate with Nuts/Mermaidman and Barnacleboy V,8.6,196
3,13,New Student Starfish/Clams,8.3,100
3,14,SpongeBob B.C. (UGH),8,139
3,15,The Great Snail Race/Mid-Life Crustacean,8.3,103
3,16,Born Again Krabs/I Had an Accident,8.4,114
3,17,Krabby Land/The Camping Episode,8.4,141
3,18,Missing Identity/Plankton's Army,8.4,114
3,19,Lost Episode (The Sponge Who Could Fly),8,128
3,20,SpongeBob Meets the Strangler/Pranks a Lot,8.6,139
4,1,Fear of a Krabby Patty/Shell of a Man,7.7,112
4,2,The Lost Mattress/Krabs vs. Plankton,7.9,101
4,3,Have You Seen This Snail?,8,130
4,4,Skill Crane/Good Neighbors,7.2,90
4,5,Selling Out/Funny Pants,6.9,81
4,6,Dunces and Dragons,7.1,101
4,7,Enemy In-Law/Mermaidman and Barnacleboy VI: The Motion Picture,7.2,81
4,8,Patrick SmartPants/SquidBob TentaclePants,6.6,96
4,9,"Krusty Towers/Mrs. Puff, You're Fired",8,122
4,10,Ghost Host/Chimps Ahoy,7.1,91
4,11,Whale of a Birthday/Karate Island,7.1,126
4,12,All That Glitters/Wishing You Well,7,86
4,13,New Leaf/Once Bitten,6.6,71
4,14,Bummer Vacation/Wigstruck,6.9,79
4,15,Squidtastic Voyage/That's No Lady,6.5,80
4,16,The Thing/Hocus Pocus,7.2,68
4,17,Driven to Tears/Rule of Dumb,6.7,67
4,18,Born to Be Wild/Best Frenemies,7.1,71
4,19,The Pink Purloiner/Squid Wood,6.4,65
4,20,Best Day Ever/The Gift of Gum,6.8,104
5,1,Friend or Foe,7.4,88
5,2,The Original Fry Cook/Night Light,6.4,76
5,3,Rise and Shine/Waiting/Fungus Among Us,6.5,64
5,4,Spy Buddies/Boat Smarts/Good Ol' Whatshisname,6.5,70
5,5,New Digs/Krabs à la Mode,7.2,67
5,6,"Roller Cowards/Bucket, Sweet Bucket",6.9,61
5,7,To Love a Patty/Breath of Fresh Squidward,6.4,68
5,8,Money Talks/SpongeBob vs. Patty Gadget/Slimy Dancing,6.4,78
5,9,The Krusty Sponge/Sing a Song of Patrick,7,64
5,10,A Flea in Her Dome/The Donut of Shame/The Krusty Plate,6.5,64
5,11,Goo Goo Gas/Le Big Switch,6.4,47
5,12,Atlantis SquarePantis,6.1,197
5,13,Picture Day/Pat No Pay/Blackjack,6.4,59
5,14,Blackened Sponge/Mermaidman vs. SpongeBob,6.6,54
5,15,The Inmates of Summer/To Save a Squirrel,7.2,62
5,16,Pest of the West,6.6,52
5,17,"20,000 Patties Under the Sea/The Battle of Bikini Bottom",6.4,65
5,18,Whatever Happened to SpongeBob? (WhoBob WhatPants),6.8,85
5,19,The Two Faces of Squidward/SpongeHenge,6.3,62
5,20,Banned in Bikini Bottom/Stanley S. SquarePants,6.6,61
6,1,House Fancy/Krabby Road,6.3,51
6,2,Penny Foolish/Nautical Novice,6.1,45
6,3,Spongicus/Suction Cup Symphony,6.1,38
6,4,Not Normal/Gone,6.6,61
6,5,The Splinter/Slide Whistle Stooges,4.3,77
6,6,A Life in a Day/Sun Bleached,6.3,49
6,7,Giant Squidward/No Nose Knows,6.3,45
6,8,The Patty Caper/Plankton's Regular,6.3,37
6,9,Boating Buddies/The Krabby Kronicle,6.5,51
6,10,The Slumber Party/Grooming Gary,6.2,42
6,11,SpongeBob SquarePants vs. The Big One,8.1,216
6,12,Porous Pockets/Choir Boys,6,40
6,13,Krusty Krushers/The Card,6.3,49
6,14,Dear Vikings/Ditchin,5.8,51
6,15,Grandpappy the Pirate/Cephalopod Lodge,6.1,41
6,16,Squid's Visit/To Squarepants or Not to Squarepants,5.2,45
6,17,Shuffleboarding/Professor Squidward,5.3,49
6,18,Pets or Pests/Komputer Overload,6,40
6,19,Gullible Pants/Overbooked,6.1,32
6,20,No Hat for Pat/Toy Store of Doom,6.1,37
6,21,Sand Castles in the Sand/Shell Shocked,7,51
6,22,Chum Bucket Supreme/Single Cell Anniversary,6.2,40
6,23,Pineapple Fever/Chum Caverns,6.9,34
6,24,The Clash of Triton,6,25
7,1,Tenacle-Vision/I Heart Dancing,6.2,36
7,2,Growth Spout/Stuck in the Wringer,4.7,50
7,3,Someone's in the Kitchen with Sandy/The Inside Job,6.2,44
7,4,Greasy Buffoons/Model Sponge,6.1,39
7,5,A Pal for Gary/Keep Bikini Bottom Beautiful,3.8,69
7,6,Square Roots: The Story of SpongeBob SquarePants,7.6,36
7,7,To SquarePants or Not to SquarePants,5.6,39
7,8,Chum Caverns,6.4,34
7,9,Goo Goo Gas/No Hat for Pat,5.7,39
7,10,Stuck in the Wringer/Overbooked,4.2,41
7,11,The Curse of Bikini Bottom/Squidward in Clarinetland,6.5,39
7,12,Truth or Square,6.9,107
7,13,Rodeo Daze/Gary in Love,5.6,34
7,14,Back to the Past/The Bad Guy Club for Villains,6.3,42
7,15,A Day Without Tears,5.4,42
7,16,Summer Job,5.7,30
7,17,Squidward in Clarinetland,6.8,36
7,18,One Coarse Meal,4.1,69
7,19,The Play's the Thing,6,25
7,20,Spongebob's Last Stand,6.5,41
7,21,Enchanted Tiki Dreams,7.1,30
7,22,Neptune's Party,6.4,28
7,23,Gramma's Secret Recipe,6.1,22
7,24,The Cent of Money,5.6,28
8,1,Karate Star/That Sinking Feeling,6.8,32
8,2,You Don't Know Sponge/Hide and Then What Happens,6,30
8,3,"Yours, Mine and Mine/Kracked Krabs",6.2,38
8,4,Buried in Time/Shellback Shenanigans,6.7,26
8,5,The Masterpiece/Whelk Attack,6.7,29
8,6,Krusty Dogs/The Wreck of the Mauna Loa,6.1,39
8,7,Mystery with a Twistery,6.5,32
8,8,The Abrasive Side/Earworm,7,43
8,9,New Fish in Town/Big Sister Sam,5.9,39
8,10,The Monster Who Came to Bikini Bottom/Welcome to the Bikini Bottom Triangle,6.5,28
8,11,The Main Drain/Trenchbillies,6.3,42
8,12,Sponge-Cano!/The Curse of the Hex,6,33
8,13,Tunnel of Glove/Love That Squid,6.1,33
8,14,Perfect Chemistry,6.6,32
8,15,Oral Report/A Friendly Game,5.7,34
8,16,Sentimental Sponge,6.4,28
8,17,Squidward's School for Grown Ups,6.1,35
8,18,The Other Patty,6.3,31
8,19,Frozen Face-Off,6.7,35
8,20,Barnacle Face/Pet Sitter Pat,5.6,32
8,21,Mermaidman Begins/Plankton's Good Eye,6.7,31
8,22,House Sittin' for Sandy/Smoothe Jazz at Bikini Bottom,6,23
8,23,Ghoul Fools,6.6,35
8,24,Home Sweet Rubble,6.4,31
8,25,Free Samples,6.4,24
8,26,For Here or to Go?,6,23
8,27,Karen 2.0,6.1,27
8,28,Extreme Spots,5.8,20
8,29,Squirrel Record,5.7,23
8,30,Demolition Doofus,5,38
8,31,Face Freeze,5.8,39
9,5,The Squarepants Battle/Back to the Other Side,6.4,25
9,15,Squid Baby/The Good Krabby Name,3.9,15
9,16,Gary's New Toy/Super Evil Aquatic Villain Team Up Is Go!,6,10
9,17,License to Milkshake,4.8,17
9,18,Chum Fricassee/Move It or Lose It,5.9,11
9,19,"Eek, an Urchin!/Patrick-Man!",5.7,10
9,20,Squid Defense,6.5,14
9,21,Plankton's Pet,6.3,10
9,22,Evil Spatula,5.5,11
9,23,Jailbreak!,6.2,11
9,24,Safe Deposit Krabs,5.3,10
9,25,Don't Look Now/Seance Shmeance,6.5,11
9,26,"SpongeBob, You're Fired!",5.4,51
10,2,The Other Spongebob Is Back: Part 1,7.6,56
10,3,The Other Spongebob Is Back: Part 2,6.9,29
10,4,The Bob Land/The Magic Gum,7,29
10,5,The Battle Begins/Where Is Patrick Star?,7,31
10,6,True Love's Kiss/The Other App,6.5,33
10,8,The Mask of Halloween/The Stars Are Here,6.9,30
10,9,Extreme Spots/Squirrel Record,7.6,49
